CLO8,anomaly_scores,anomaly
99,0.046706269241254095,1
88,0.14474151497603438,1
88,0.14474151497603438,1
81,0.0,1
85,0.031692414683201386,1
33,-0.19878562993563464,-1
86,0.06976485022850998,1
94,0.09755486417928083,1
95,0.1416276643747349,1
96,0.12480130360696284,1
97,0.05572181446895036,1
95,0.1416276643747349,1
99,0.046706269241254095,1
20,-0.22028493540206895,-1
96,0.12480130360696284,1
91,0.10762844973017732,1
92,0.09547215642740298,1
90,0.10055480024267932,1
95,0.1416276643747349,1
99,0.046706269241254095,1
88,0.14474151497603438,1
88,0.14474151497603438,1
81,0.0,1
