CLO7,anomaly_scores,anomaly
91,0.1966373329301621,1
92,0.18565128974165485,1
90,0.190854144194335,1
95,0.21275376728821432,1
99,0.08114892351706493,1
88,0.15638844999771945,1
88,0.15638844999771945,1
81,-0.020287230879266316,-1
85,0.08511445982756138,1
33,-0.1470765017246929,-1
86,0.11231140575057752,1
94,0.20816097580071913,1
95,0.21275376728821432,1
96,0.18781976267719486,1
97,0.10655455832954952,1
95,0.21275376728821432,1
99,0.08114892351706493,1
20,-0.1685758071911272,-1
96,0.18781976267719486,1
93,0.17978960162232666,1
94,0.20816097580071913,1
91,0.1966373329301621,1
90,0.190854144194335,1
